interview_number,interview_date,interview_time,respondent_gender,respondent_age,respondent_class,respondent_home,number_alters,alter1_gender,alter1_age,alter1_class,alter1_home,alter1_howclose,alter1_howoften,alter2_gender,alter2_age,alter2_class,alter2_home,alter2_howclose,alter2_howoften,alter3_gender,alter3_age,alter3_class,alter3_home,alter3_howclose,alter3_howoften,alter4_gender,alter4_age,alter4_class,alter4_home,alter4_howclose,alter4_howoften,alter5_gender,alter5_age,alter5_class,alter5_home,alter5_howclose,alter5_howoften
1,2022-08-31,17:48:00,Female,19,Junior,Rest of California,5,Male,20,Junior,Rest of California,Close friend,More than once a week,Male,20,Junior,Rest of California,Friend,Once a week,Female,20,Junior,Rest of World,Friend,Once a month,Male,17,Senior,Rest of United States,Friend,Once a week,Female,20,Junior,Rest of California,Friend,Once a week
2,2022-08-31,18:54:00,Female,20,Junior,Rest of California,5,Female,48,Other,Rest of California,Close friend,More than once a week,Female,20,Junior,Rest of California,Close friend,More than once a week,Female,20,Junior,NA,Close friend,Once a week,Female,20,Junior,Rest of California,Close friend,Once a week,Female,20,Junior,Rest of California,Friend,Once a week
3,2022-08-31,16:10:00,Female,20,Junior,Rest of California,5,Male,26,Other,Rest of California,Close friend,More than once a week,Female,20,Junior,Rest of California,Close friend,More than once a week,Female,19,Junior,Rest of California,Close friend,More than once a week,Female,20,Junior,Bay Area,Close friend,More than once a week,Male,22,Senior,Rest of California,Friend,More than once a week
1,2022-08-30,15:03:00,Female,21,Senior,Bay Area,5,Female,49,Other,Bay Area,Close friend,Once a week,Female,21,Senior,Rest of California,Close friend,More than once a week,Female,21,Senior,Bay Area,Close friend,More than once a week,Male,21,Senior,Rest of World,Close friend,More than once a week,Female,20,Junior,LA Area,Close friend,More than once a week
2,2022-08-31,15:00:00,Male,18,Freshman,Rest of World,6+,Female,18,Freshman,Rest of World,Close friend,Once a week,Male,50,Other,Rest of World,Close friend,Once a month,Male,12,Other,Rest of World,Friend,Once a week,Male,19,Freshman,Rest of World,Friend,Once a month,Male,19,Freshman,Rest of United States,Friend,Once a month
3,2022-08-31,15:26:00,Male,22,Senior,Rest of United States,5,Female,50,Other,Rest of World,Close friend,Once a week,Male,20,Senior,Rest of United States,Close friend,Once a week,Male,22,Senior,LA Area,Close friend,More than once a week,Female,19,Sophomore,Rest of United States,Close friend,Once a week,Male,50,Other,Bay Area,Close friend,Once a week
1,2022-08-30,15:00:00,Female,21,Senior,Rest of California,5,Female,21,Senior,Rest of California,Close friend,More than once a week,Male,20,Senior,Rest of California,Close friend,More than once a week,Female,21,Senior,Rest of World,Close friend,More than once a week,Female,21,Senior,Rest of California,Close friend,Once a month,Female,21,Senior,Rest of California,Close friend,Once a week
2,2022-08-31,15:55:00,Male,22,Sophomore,Rest of World,3,Female,21,Junior,Rest of World,Close friend,More than once a week,Female,49,Other,Rest of World,Close friend,Once a week,Male,49,Other,Rest of World,Close friend,Once a week,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2022-08-30,14:55:00,Female,21,Senior,Bay Area,5,Female,21,Senior,Bay Area,Close friend,More than once a week,Female,21,Senior,Bay Area,Close friend,More than once a week,Male,21,Senior,Rest of World,Close friend,More than once a week,Female,21,Senior,Bay Area,Close friend,More than once a week,Female,21,Senior,Bay Area,Close friend,More than once a week
2,2022-08-30,23:15:00,Female,18,Sophomore,Rest of United States,6+,Female,19,Sophomore,LA Area,Close friend,More than once a week,Female,19,Sophomore,Bay Area,Close friend,More than once a week,Female,22,Other,Rest of United States,Close friend,More than once a week,Female,50,Other,Rest of World,Close friend,More than once a week,Male,20,Sophomore,Rest of World,Close friend,More than once a week
3,2022-08-30,23:34:00,Female,19,Sophomore,Rest of United States,6+,Female,44,Other,Rest of World,Close friend,More than once a week,Female,19,Sophomore,Rest of World,Close friend,More than once a week,Female,19,Sophomore,Rest of California,Close friend,More than once a week,Female,19,Sophomore,Bay Area,Friend,Once a month,Male,19,Sophomore,Bay Area,Close friend,More than once a week
3,2022-08-30,16:12:00,Male,22,Senior,Bay Area,3,Female,61,Other,Rest of World,Close friend,More than once a week,Male,26,Other,Bay Area,Close friend,More than once a week,Male,29,Other,Bay Area,Close friend,Once a week,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2022-09-02,11:17:00,Female,20,Junior,LA Area,5,Female,21,Senior,Rest of United States,Close friend,More than once a week,Male,20,Junior,LA Area,Close friend,More than once a week,Male,20,Junior,LA Area,Close friend,More than once a week,Female,21,Senior,Bay Area,Close friend,Once a month,Female,20,Junior,LA Area,Friend,Once a week
